Ano_Mes;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Brasil;Sinasc
2021/Dez;1289;1001;5603;924;6866;1204;1244;5914;3424;7484;3337;2592;8650;2788;2607;10175;15837;3349;10815;30454;8153;4415;7766;2102;3449;4727;3931;160100;217260
2022/Jan;1651;1098;7029;1018;9291;1343;2326;7739;4012;8621;3481;3500;9217;3390;2717;12948;16702;3696;11032;33860;9594;5671;8032;2544;4483;5775;3918;184688;232974
2022/Fev;1829;948;6303;847;8128;1000;1885;6792;3580;9038;3554;3264;8960;3062;2651;13032;17226;3683;11296;33443;9885;5896;8667;2655;3914;5455;3712;180705;221555
2022/Mar;2175;1097;6338;908;8448;1226;2352;7315;3875;10831;3752;4392;10194;3425;3583;14501;19959;3670;12907;38373;12364;6901;10536;3014;5065;6677;4415;208293;248696
2022/Abr;2168;1268;6981;893;8024;1079;1985;6367;3574;10789;3436;3911;9130;3453;3634;11304;18846;2706;11592;37208;9536;5484;9052;2760;4506;5783;3976;189445;241794
2022/Mai;2797;1335;9325;935;10437;1398;3194;8639;5370;15395;4419;5912;14756;5216;4123;18537;23445;2489;13967;47043;11962;8076;11073;3618;5594;6998;4449;250502;247360
2022/Jun;2875;1166;8881;944;10068;1284;2958;8121;5222;15776;4280;5277;13535;5236;3760;16177;23344;2995;13426;44137;12516;8166;11000;3654;5014;6486;4315;240613;228956
2022/Jul;2372;1108;8452;1020;9329;1347;2596;6495;4166;14141;4197;5138;12223;5065;3380;16170;21877;2963;14135;41482;11779;7314;10297;3077;4202;6514;3992;224831;231381
2022/Ago;2282;752;7378;993;9624;939;2364;7665;3344;12031;4051;5222;9912;4200;2306;14335;20646;2540;12982;37899;11804;7708;10235;2810;4310;5379;4186;207897;224786
2022/Set;2124;726;6801;1025;8065;971;2148;6973;3828;11297;3411;4439;9554;3804;2154;11740;19127;2351;12244;34624;11828;7106;9804;2622;4329;5549;3574;192218;226534
2022/Out;1939;959;6695;1000;8913;772;2164;6962;3617;10903;3181;4009;9880;3692;1998;11022;17074;2166;12394;32334;9999;7125;8675;2553;3949;5243;3542;182760;218638
2022/Nov;2184;956;7314;1083;9626;1205;2560;7650;3889;11402;3625;3951;10260;4371;1949;11381;18611;2251;12852;35493;10250;6986;9015;2708;4460;5654;3774;195460;211035
2022/Dez;2145;1004;7105;1055;9775;1147;2189;7273;3851;12077;3667;3977;10144;4623;2311;11439;19425;2667;13306;38093;10250;6895;9312;2718;4654;5889;3937;200928;218423
